Aldur;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
16-19;116;163;339;404;282;151;91;74;171;695;475;328;229;195;142
20-24;244;328;709;991;875;524;311;224;489;2.291;2.086;1.879;1.269;1.065;889
25-29;265;310;584;795;770;516;318;256;493;2.529;2.407;2.132;1.553;1.279;1.114
30-34;234;242;452;619;630;404;244;198;397;2.038;2.035;1.846;1.493;1.212;1.034
35-39;228;232;432;556;471;304;202;150;286;1.575;1.506;1.368;1.050;865;712
40-44;193;203;367;480;436;284;187;140;261;1.395;1.277;1.124;808;644;540
45-49;157;170;314;396;376;252;170;147;252;1.321;1.268;1.083;819;598;491
50-54;124;149;239;322;334;239;150;122;231;1.222;1.216;1.045;775;576;472
55-59;147;136;187;269;295;237;177;126;193;952;995;959;738;531;452
60-64;200;179;208;253;265;245;182;148;181;717;810;821;643;451;387
65-69;241;208;205;214;229;211;199;191;186;386;429;482;461;310;242