"External migration by sex, age and citizenship 1986-2014"
"Total";"1993";"28 years";-14
"Total";"1993";"29 years";-17
"Total";"1993";"30 years";-30
"Total";"1993";"31 years";9
"Total";"1993";"32 years";-11
"Total";"1993";"33 years";-16
"Total";"1993";"34 years";-14
"Total";"1993";"35 years";12
"Total";"1993";"36 years";-6
"Total";"1993";"37 years";6
"Total";"1993";"38 years";1
"Total";"1993";"39 years";2
"Total";"1993";"40 years";-2
"Total";"1993";"41 years";11
"Total";"1993";"42 years";4
"Total";"1993";"43 years";-1
"Total";"1993";"44 years";10
"Total";"1993";"45 years";-6
"Total";"1993";"46 years";-6
"Total";"1993";"47 years";-2
"Total";"1993";"48 years";10
"Total";"1993";"49 years";-8
"Total";"1993";"50 years";-2
"Total";"1993";"51 years";-1
"Total";"1993";"52 years";1
"Total";"1993";"53 years";-3
"Total";"1993";"54 years";-2
"Total";"1993";"55 years";-4
"Total";"1993";"56 years";5
"Total";"1993";"57 years";1
"Total";"1993";"58 years";-4
"Total";"1993";"59 years";-2
"Total";"1993";"60 years";-3
"Total";"1993";"61 years";1
"Total";"1993";"62 years";-2
"Total";"1993";"63 years";-6
"Total";"1993";"64 years";0
"Total";"1993";"65 years";-4
"Total";"1993";"66 years";-7
"Total";"1993";"67 years";4
"Total";"1993";"68 years";1
"Total";"1993";"69 years";1
"Total";"1993";"70 years";1
"Total";"1993";"71 years";0
"Total";"1993";"72 years";1
"Total";"1993";"73 years";1
"Total";"1993";"74 years";-
"Total";"1993";"75 years";-
"Total";"1993";"76 years";2
"Total";"1993";"77 years";3
"Total";"1993";"78 years";-
"Total";"1993";"79 years";0
"Total";"1993";"80 years";-
"Total";"1993";"81 years";-
"Total";"1993";"82 years";-
"Total";"1993";"83 years";1
"Total";"1993";"84 years";-2
"Total";"1993";"85 years";-
"Total";"1993";"86 years";-
"Total";"1993";"87 years";-
"Total";"1993";"88 years";-
"Total";"1993";"89 years";-
"Total";"1993";"90 years";-
"Total";"1993";"91 years";-
"Total";"1993";"92 years";-
"Total";"1993";"93 years";-
"Total";"1993";"94 years";-
"Total";"1993";"95 years";-
"Total";"1993";"96 years";-
"Total";"1993";"97 years";-
"Total";"1993";"98 years";-
"Total";"1993";"99 years";-
"Total";"1993";"100 years";-
"Total";"1993";"101 years";-
"Total";"1993";"102 years";-
"Total";"1993";"103 years";-
"Total";"1993";"104 years";-
"Total";"1993";"105 years";-
"Total";"1993";"106 years";-
"Total";"1993";"107 years";-
"Total";"1993";"108 years";-
"Total";"1993";"109 years";-
"Total";"1993";"110 years";-
"Total";"1994";"1 year";-26
"Total";"1994";"2 years";-8
"Total";"1994";"3 years";-31
"Total";"1994";"4 years";-14
"Total";"1994";"5 years";-20
"Total";"1994";"6 years";-9
"Total";"1994";"7 years";-15
"Total";"1994";"8 years";-17
"Total";"1994";"9 years";-4
"Total";"1994";"10 years";-10
"Total";"1994";"11 years";-12
"Total";"1994";"12 years";-16
"Total";"1994";"13 years";-9
"Total";"1994";"14 years";-10
"Total";"1994";"15 years";-15
"Total";"1994";"16 years";10
"Total";"1994";"17 years";18
"Total";"1994";"18 years";0
"Total";"1994";"19 years";-4
"Total";"1994";"20 years";-42
"Total";"1994";"21 years";-52
"Total";"1994";"22 years";-37
"Total";"1994";"23 years";-38
"Total";"1994";"24 years";-85
"Total";"1994";"25 years";-42
"Total";"1994";"26 years";-49
"Total";"1994";"27 years";-54
"Total";"1994";"28 years";-26
"Total";"1994";"29 years";-29
"Total";"1994";"30 years";-9
"Total";"1994";"31 years";-24
"Total";"1994";"32 years";-7
"Total";"1994";"33 years";-15
"Total";"1994";"34 years";0
"Total";"1994";"35 years";-12
"Total";"1994";"36 years";-20
"Total";"1994";"37 years";-16
"Total";"1994";"38 years";-17
"Total";"1994";"39 years";-7
"Total";"1994";"40 years";-5
"Total";"1994";"41 years";-20
"Total";"1994";"42 years";-19
"Total";"1994";"43 years";-9
"Total";"1994";"44 years";0
"Total";"1994";"45 years";-5
"Total";"1994";"46 years";5
"Total";"1994";"47 years";-1
"Total";"1994";"48 years";-12
"Total";"1994";"49 years";-4
"Total";"1994";"50 years";2
"Total";"1994";"51 years";-1
"Total";"1994";"52 years";-3
"Total";"1994";"53 years";1
"Total";"1994";"54 years";4
"Total";"1994";"55 years";-3
"Total";"1994";"56 years";0
"Total";"1994";"57 years";4
"Total";"1994";"58 years";3
"Total";"1994";"59 years";-1
"Total";"1994";"60 years";2
"Total";"1994";"61 years";0
"Total";"1994";"62 years";-1
"Total";"1994";"63 years";0
"Total";"1994";"64 years";1
"Total";"1994";"65 years";1
"Total";"1994";"66 years";0
"Total";"1994";"67 years";2
"Total";"1994";"68 years";1
"Total";"1994";"69 years";1
"Total";"1994";"70 years";1
"Total";"1994";"71 years";0
"Total";"1994";"72 years";2
"Total";"1994";"73 years";1
"Total";"1994";"74 years";0
"Total";"1994";"75 years";-
"Total";"1994";"76 years";2
"Total";"1994";"77 years";-1
"Total";"1994";"78 years";-
"Total";"1994";"79 years";-
"Total";"1994";"80 years";1
"Total";"1994";"81 years";0
"Total";"1994";"82 years";0
"Total";"1994";"83 years";-
"Total";"1994";"84 years";-
"Total";"1994";"85 years";-
"Total";"1994";"86 years";-
"Total";"1994";"87 years";-
"Total";"1994";"88 years";-
"Total";"1994";"89 years";-
"Total";"1994";"90 years";-
"Total";"1994";"91 years";-
"Total";"1994";"92 years";-
"Total";"1994";"93 years";-
"Total";"1994";"94 years";-
"Total";"1994";"95 years";-
"Total";"1994";"96 years";-
"Total";"1994";"97 years";-
"Total";"1994";"98 years";-
"Total";"1994";"99 years";-
"Total";"1994";"100 years";-
"Total";"1994";"101 years";-
"Total";"1994";"102 years";-
"Total";"1994";"103 years";-
"Total";"1994";"104 years";-
"Total";"1994";"105 years";-
"Total";"1994";"106 years";-
"Total";"1994";"107 years";-
"Total";"1994";"108 years";-
"Total";"1994";"109 years";-
"Total";"1994";"110 years";-
"Total";"1995";"1 year";-35
"Total";"1995";"2 years";-50
"Total";"1995";"3 years";-42
"Total";"1995";"4 years";-20
"Total";"1995";"5 years";-28
"Total";"1995";"6 years";-20
"Total";"1995";"7 years";-31
"Total";"1995";"8 years";-42
"Total";"1995";"9 years";-8
"Total";"1995";"10 years";-29
"Total";"1995";"11 years";-24
"Total";"1995";"12 years";-20
"Total";"1995";"13 years";-9
"Total";"1995";"14 years";-10
"Total";"1995";"15 years";0
"Total";"1995";"16 years";12
"Total";"1995";"17 years";-19
"Total";"1995";"18 years";-25
"Total";"1995";"19 years";3
"Total";"1995";"20 years";-47
"Total";"1995";"21 years";-75
"Total";"1995";"22 years";-57
"Total";"1995";"23 years";-67
"Total";"1995";"24 years";-80
"Total";"1995";"25 years";-61
"Total";"1995";"26 years";-80
"Total";"1995";"27 years";-49
"Total";"1995";"28 years";-72
"Total";"1995";"29 years";-37
"Total";"1995";"30 years";-34
"Total";"1995";"31 years";-41
"Total";"1995";"32 years";-47
"Total";"1995";"33 years";-10
"Total";"1995";"34 years";-42
"Total";"1995";"35 years";-33
"Total";"1995";"36 years";-21
"Total";"1995";"37 years";-21
"Total";"1995";"38 years";-21
"Total";"1995";"39 years";-18
"Total";"1995";"40 years";-12
"Total";"1995";"41 years";1
"Total";"1995";"42 years";-22
"Total";"1995";"43 years";-1
"Total";"1995";"44 years";-23
"Total";"1995";"45 years";-23
"Total";"1995";"46 years";-10
"Total";"1995";"47 years";-10
"Total";"1995";"48 years";-7
"Total";"1995";"49 years";-1
"Total";"1995";"50 years";-2
"Total";"1995";"51 years";-8
"Total";"1995";"52 years";-1
"Total";"1995";"53 years";-2
"Total";"1995";"54 years";-1
"Total";"1995";"55 years";0
"Total";"1995";"56 years";-4
"Total";"1995";"57 years";2
"Total";"1995";"58 years";-2
"Total";"1995";"59 years";-3
"Total";"1995";"60 years";1
"Total";"1995";"61 years";-1
"Total";"1995";"62 years";-4
"Total";"1995";"63 years";-2
"Total";"1995";"64 years";2
"Total";"1995";"65 years";1
"Total";"1995";"66 years";0
"Total";"1995";"67 years";3
"Total";"1995";"68 years";-4
"Total";"1995";"69 years";1
"Total";"1995";"70 years";1
"Total";"1995";"71 years";1
"Total";"1995";"72 years";-
"Total";"1995";"73 years";1
"Total";"1995";"74 years";-
"Total";"1995";"75 years";2
"Total";"1995";"76 years";-
"Total";"1995";"77 years";-
"Total";"1995";"78 years";0
"Total";"1995";"79 years";-
"Total";"1995";"80 years";-
"Total";"1995";"81 years";-
"Total";"1995";"82 years";-
"Total";"1995";"83 years";-
"Total";"1995";"84 years";-
"Total";"1995";"85 years";-
"Total";"1995";"86 years";-
"Total";"1995";"87 years";-
"Total";"1995";"88 years";-
"Total";"1995";"89 years";-
"Total";"1995";"90 years";-
"Total";"1995";"91 years";-
"Total";"1995";"92 years";-
"Total";"1995";"93 years";-
"Total";"1995";"94 years";-
"Total";"1995";"95 years";-
"Total";"1995";"96 years";-
"Total";"1995";"97 years";-
"Total";"1995";"98 years";-
"Total";"1995";"99 years";-
"Total";"1995";"100 years";-
"Total";"1995";"101 years";-
"Total";"1995";"102 years";-
"Total";"1995";"103 years";-
"Total";"1995";"104 years";-
"Total";"1995";"105 years";-
"Total";"1995";"106 years";-
"Total";"1995";"107 years";-
"Total";"1995";"108 years";-
"Total";"1995";"109 years";-
"Total";"1995";"110 years";-
"Total";"1996";"1 year";-30
"Total";"1996";"2 years";-19
"Total";"1996";"3 years";-41
"Total";"1996";"4 years";-25
"Total";"1996";"5 years";-25
"Total";"1996";"6 years";-20
"Total";"1996";"7 years";-27
"Total";"1996";"8 years";4
"Total";"1996";"9 years";-8
"Total";"1996";"10 years";-21
"Total";"1996";"11 years";-8
"Total";"1996";"12 years";-11
"Total";"1996";"13 years";14
"Total";"1996";"14 years";4
"Total";"1996";"15 years";2
"Total";"1996";"16 years";10
"Total";"1996";"17 years";9
"Total";"1996";"18 years";21
"Total";"1996";"19 years";5
"Total";"1996";"20 years";-3
"Total";"1996";"21 years";-12
"Total";"1996";"22 years";3
"Total";"1996";"23 years";-8
"Total";"1996";"24 years";-22
"Total";"1996";"25 years";-21
"Total";"1996";"26 years";-43
"Total";"1996";"27 years";-20
"Total";"1996";"28 years";-35
"Total";"1996";"29 years";-35
"Total";"1996";"30 years";-43
"Total";"1996";"31 years";-34
"Total";"1996";"32 years";-33
"Total";"1996";"33 years";-8
"Total";"1996";"34 years";3
"Total";"1996";"35 years";12
"Total";"1996";"36 years";14
"Total";"1996";"37 years";-15
"Total";"1996";"38 years";-5
"Total";"1996";"39 years";3
"Total";"1996";"40 years";-5
"Total";"1996";"41 years";-17
"Total";"1996";"42 years";-18
"Total";"1996";"43 years";-4
"Total";"1996";"44 years";2
"Total";"1996";"45 years";1
"Total";"1996";"46 years";-7
"Total";"1996";"47 years";-1
"Total";"1996";"48 years";-8
"Total";"1996";"49 years";-5
"Total";"1996";"50 years";-3
"Total";"1996";"51 years";1
"Total";"1996";"52 years";5
"Total";"1996";"53 years";4
"Total";"1996";"54 years";11
"Total";"1996";"55 years";6
"Total";"1996";"56 years";4
"Total";"1996";"57 years";1
"Total";"1996";"58 years";-5
"Total";"1996";"59 years";0
"Total";"1996";"60 years";-3
"Total";"1996";"61 years";2
"Total";"1996";"62 years";-1
"Total";"1996";"63 years";3
"Total";"1996";"64 years";2
"Total";"1996";"65 years";2
"Total";"1996";"66 years";1
"Total";"1996";"67 years";-1
"Total";"1996";"68 years";3
"Total";"1996";"69 years";0
"Total";"1996";"70 years";1
"Total";"1996";"71 years";1
"Total";"1996";"72 years";0
"Total";"1996";"73 years";1
"Total";"1996";"74 years";-
"Total";"1996";"75 years";0
"Total";"1996";"76 years";2
"Total";"1996";"77 years";-
"Total";"1996";"78 years";0
"Total";"1996";"79 years";-
"Total";"1996";"80 years";-
"Total";"1996";"81 years";-
"Total";"1996";"82 years";-
"Total";"1996";"83 years";-
"Total";"1996";"84 years";-1
"Total";"1996";"85 years";0
"Total";"1996";"86 years";-
"Total";"1996";"87 years";-
"Total";"1996";"88 years";-
"Total";"1996";"89 years";-
"Total";"1996";"90 years";-
"Total";"1996";"91 years";-1
"Total";"1996";"92 years";-
"Total";"1996";"93 years";-
"Total";"1996";"94 years";-
"Total";"1996";"95 years";-
"Total";"1996";"96 years";-
"Total";"1996";"97 years";-
"Total";"1996";"98 years";-
"Total";"1996";"99 years";-
"Total";"1996";"100 years";-
"Total";"1996";"101 years";-
"Total";"1996";"102 years";-
"Total";"1996";"103 years";-
"Total";"1996";"104 years";-
"Total";"1996";"105 years";-
"Total";"1996";"106 years";-
"Total";"1996";"107 years";-
"Total";"1996";"108 years";-
"Total";"1996";"109 years";-
"Total";"1996";"110 years";-
"Total";"1997";"1 year";-30
"Total";"1997";"2 years";-14
"Total";"1997";"3 years";-19
"Total";"1997";"4 years";4
"Total";"1997";"5 years";-7
"Total";"1997";"6 years";-8
"Total";"1997";"7 years";-3
"Total";"1997";"8 years";-12
"Total";"1997";"9 years";-11
"Total";"1997";"10 years";-3
"Total";"1997";"11 years";19
"Total";"1997";"12 years";0
"Total";"1997";"13 years";5
"Total";"1997";"14 years";14
"Total";"1997";"15 years";14
"Total";"1997";"16 years";23
"Total";"1997";"17 years";12
"Total";"1997";"18 years";29
"Total";"1997";"19 years";31
"Total";"1997";"20 years";-27
"Total";"1997";"21 years";-32
"Total";"1997";"22 years";-8
"Total";"1997";"23 years";16
"Total";"1997";"24 years";0
"Total";"1997";"25 years";-15
"Total";"1997";"26 years";-21
"Total";"1997";"27 years";18
"Total";"1997";"28 years";21
"Total";"1997";"29 years";-40
"Total";"1997";"30 years";-26
"Total";"1997";"31 years";-17
"Total";"1997";"32 years";-21
"Total";"1997";"33 years";-11
"Total";"1997";"34 years";3
"Total";"1997";"35 years";-2
"Total";"1997";"36 years";-6
"Total";"1997";"37 years";22
"Total";"1997";"38 years";24
"Total";"1997";"39 years";-3
"Total";"1997";"40 years";7
"Total";"1997";"41 years";8
"Total";"1997";"42 years";16
"Total";"1997";"43 years";-7
"Total";"1997";"44 years";0
"Total";"1997";"45 years";19
"Total";"1997";"46 years";0
"Total";"1997";"47 years";4
"Total";"1997";"48 years";6
"Total";"1997";"49 years";6
"Total";"1997";"50 years";4
"Total";"1997";"51 years";13
"Total";"1997";"52 years";6
"Total";"1997";"53 years";-4
"Total";"1997";"54 years";3
"Total";"1997";"55 years";0
"Total";"1997";"56 years";4
"Total";"1997";"57 years";4
"Total";"1997";"58 years";-3
"Total";"1997";"59 years";-2
"Total";"1997";"60 years";4
"Total";"1997";"61 years";2
"Total";"1997";"62 years";1
"Total";"1997";"63 years";0
"Total";"1997";"64 years";0
"Total";"1997";"65 years";2
"Total";"1997";"66 years";2
"Total";"1997";"67 years";1
"Total";"1997";"68 years";2
"Total";"1997";"69 years";-
"Total";"1997";"70 years";2
"Total";"1997";"71 years";3
"Total";"1997";"72 years";2
"Total";"1997";"73 years";2
"Total";"1997";"74 years";-2
"Total";"1997";"75 years";1
"Total";"1997";"76 years";0
"Total";"1997";"77 years";-1
"Total";"1997";"78 years";2
"Total";"1997";"79 years";-
"Total";"1997";"80 years";-1
"Total";"1997";"81 years";-
"Total";"1997";"82 years";-1
"Total";"1997";"83 years";-
"Total";"1997";"84 years";-
"Total";"1997";"85 years";1
"Total";"1997";"86 years";-1
"Total";"1997";"87 years";-
"Total";"1997";"88 years";-
"Total";"1997";"89 years";-
"Total";"1997";"90 years";-
"Total";"1997";"91 years";-
"Total";"1997";"92 years";-
"Total";"1997";"93 years";1
"Total";"1997";"94 years";-
"Total";"1997";"95 years";-
"Total";"1997";"96 years";-
"Total";"1997";"97 years";-
"Total";"1997";"98 years";-
"Total";"1997";"99 years";-
"Total";"1997";"100 years";-
"Total";"1997";"101 years";-
"Total";"1997";"102 years";-
"Total";"1997";"103 years";-
"Total";"1997";"104 years";-
"Total";"1997";"105 years";-
"Total";"1997";"106 years";-
"Total";"1997";"107 years";-
"Total";"1997";"108 years";-
"Total";"1997";"109 years";-
"Total";"1997";"110 years";-
"Total";"1998";"1 year";10
"Total";"1998";"2 years";5
"Total";"1998";"3 years";14
"Total";"1998";"4 years";14
"Total";"1998";"5 years";5
"Total";"1998";"6 years";2
"Total";"1998";"7 years";-10
"Total";"1998";"8 years";18
"Total";"1998";"9 years";28
"Total";"1998";"10 years";1
"Total";"1998";"11 years";8
"Total";"1998";"12 years";-3
"Total";"1998";"13 years";11
"Total";"1998";"14 years";6
"Total";"1998";"15 years";-15
"Total";"1998";"16 years";14
"Total";"1998";"17 years";-1
"Total";"1998";"18 years";4
"Total";"1998";"19 years";38
"Total";"1998";"20 years";27
"Total";"1998";"21 years";10
"Total";"1998";"22 years";-14
"Total";"1998";"23 years";31
"Total";"1998";"24 years";20
"Total";"1998";"25 years";17
"Total";"1998";"26 years";23
"Total";"1998";"27 years";37
"Total";"1998";"28 years";13
"Total";"1998";"29 years";21
"Total";"1998";"30 years";22
"Total";"1998";"31 years";56
"Total";"1998";"32 years";38
"Total";"1998";"33 years";16
"Total";"1998";"34 years";24
"Total";"1998";"35 years";20
"Total";"1998";"36 years";15
"Total";"1998";"37 years";11
"Total";"1998";"38 years";27
"Total";"1998";"39 years";15
"Total";"1998";"40 years";26
"Total";"1998";"41 years";25
"Total";"1998";"42 years";9
"Total";"1998";"43 years";21
"Total";"1998";"44 years";10
"Total";"1998";"45 years";11
"Total";"1998";"46 years";10
"Total";"1998";"47 years";4
"Total";"1998";"48 years";13
"Total";"1998";"49 years";20
"Total";"1998";"50 years";12
"Total";"1998";"51 years";10
"Total";"1998";"52 years";4
"Total";"1998";"53 years";6
"Total";"1998";"54 years";-1
"Total";"1998";"55 years";5
"Total";"1998";"56 years";3
"Total";"1998";"57 years";7
"Total";"1998";"58 years";0
"Total";"1998";"59 years";-2
"Total";"1998";"60 years";2
"Total";"1998";"61 years";1
"Total";"1998";"62 years";1
"Total";"1998";"63 years";2
"Total";"1998";"64 years";0
"Total";"1998";"65 years";4
"Total";"1998";"66 years";1
"Total";"1998";"67 years";3
"Total";"1998";"68 years";2
"Total";"1998";"69 years";0
"Total";"1998";"70 years";0
"Total";"1998";"71 years";-
"Total";"1998";"72 years";-
"Total";"1998";"73 years";1
"Total";"1998";"74 years";-2
"Total";"1998";"75 years";1
"Total";"1998";"76 years";-1
"Total";"1998";"77 years";-
"Total";"1998";"78 years";-
"Total";"1998";"79 years";0
"Total";"1998";"80 years";-
"Total";"1998";"81 years";0
"Total";"1998";"82 years";1
"Total";"1998";"83 years";-1
"Total";"1998";"84 years";-
"Total";"1998";"85 years";-
"Total";"1998";"86 years";-
"Total";"1998";"87 years";-1
"Total";"1998";"88 years";-
"Total";"1998";"89 years";-
"Total";"1998";"90 years";-
"Total";"1998";"91 years";-
"Total";"1998";"92 years";-
"Total";"1998";"93 years";-
"Total";"1998";"94 years";-
"Total";"1998";"95 years";-
"Total";"1998";"96 years";-
"Total";"1998";"97 years";-
"Total";"1998";"98 years";-
"Total";"1998";"99 years";-
"Total";"1998";"100 years";-
"Total";"1998";"101 years";-
"Total";"1998";"102 years";-
"Total";"1998";"103 years";-
"Total";"1998";"104 years";-
"Total";"1998";"105 years";-
"Total";"1998";"106 years";-
"Total";"1998";"107 years";-
"Total";"1998";"108 years";-
"Total";"1998";"109 years";-
"Total";"1998";"110 years";-
"Total";"1999";"1 year";14
"Total";"1999";"2 years";2
"Total";"1999";"3 years";27
"Total";"1999";"4 years";29
"Total";"1999";"5 years";20
"Total";"1999";"6 years";27
"Total";"1999";"7 years";15
"Total";"1999";"8 years";21
"Total";"1999";"9 years";18
"Total";"1999";"10 years";15
"Total";"1999";"11 years";8
"Total";"1999";"12 years";20
"Total";"1999";"13 years";38
"Total";"1999";"14 years";24
"Total";"1999";"15 years";41
"Total";"1999";"16 years";66
"Total";"1999";"17 years";29
"Total";"1999";"18 years";54
"Total";"1999";"19 years";17
"Total";"1999";"20 years";14
"Total";"1999";"21 years";10
"Total";"1999";"22 years";36
"Total";"1999";"23 years";12
"Total";"1999";"24 years";-10
"Total";"1999";"25 years";26
"Total";"1999";"26 years";22
"Total";"1999";"27 years";35
"Total";"1999";"28 years";34
"Total";"1999";"29 years";34
"Total";"1999";"30 years";26
"Total";"1999";"31 years";21
"Total";"1999";"32 years";10
"Total";"1999";"33 years";18
"Total";"1999";"34 years";27
"Total";"1999";"35 years";50
"Total";"1999";"36 years";23
"Total";"1999";"37 years";10
"Total";"1999";"38 years";5
"Total";"1999";"39 years";29
"Total";"1999";"40 years";25
"Total";"1999";"41 years";28
"Total";"1999";"42 years";14
"Total";"1999";"43 years";18
"Total";"1999";"44 years";-3
"Total";"1999";"45 years";15
"Total";"1999";"46 years";-17
"Total";"1999";"47 years";4
"Total";"1999";"48 years";13
"Total";"1999";"49 years";4
"Total";"1999";"50 years";9
"Total";"1999";"51 years";4
"Total";"1999";"52 years";-1
"Total";"1999";"53 years";-8
"Total";"1999";"54 years";1
"Total";"1999";"55 years";2
"Total";"1999";"56 years";1
"Total";"1999";"57 years";0
"Total";"1999";"58 years";3
"Total";"1999";"59 years";-3
"Total";"1999";"60 years";4
"Total";"1999";"61 years";-6
"Total";"1999";"62 years";1
"Total";"1999";"63 years";1
"Total";"1999";"64 years";1
"Total";"1999";"65 years";4
"Total";"1999";"66 years";7
"Total";"1999";"67 years";-1
"Total";"1999";"68 years";2
"Total";"1999";"69 years";0
"Total";"1999";"70 years";-2
"Total";"1999";"71 years";-1
"Total";"1999";"72 years";0
"Total";"1999";"73 years";6
"Total";"1999";"74 years";3
"Total";"1999";"75 years";1
"Total";"1999";"76 years";0
"Total";"1999";"77 years";0
"Total";"1999";"78 years";1
"Total";"1999";"79 years";1
"Total";"1999";"80 years";2
"Total";"1999";"81 years";-
"Total";"1999";"82 years";-1
"Total";"1999";"83 years";-1
"Total";"1999";"84 years";-1
"Total";"1999";"85 years";-
"Total";"1999";"86 years";1
"Total";"1999";"87 years";-
"Total";"1999";"88 years";1
"Total";"1999";"89 years";-
"Total";"1999";"90 years";-
"Total";"1999";"91 years";-
"Total";"1999";"92 years";-
"Total";"1999";"93 years";-
"Total";"1999";"94 years";-
"Total";"1999";"95 years";-
"Total";"1999";"96 years";-
"Total";"1999";"97 years";-
"Total";"1999";"98 years";-
"Total";"1999";"99 years";-
"Total";"1999";"100 years";-
"Total";"1999";"101 years";-
"Total";"1999";"102 years";-
"Total";"1999";"103 years";-
"Total";"1999";"104 years";-
"Total";"1999";"105 years";-
"Total";"1999";"106 years";-
"Total";"1999";"107 years";-
"Total";"1999";"108 years";-
"Total";"1999";"109 years";-
"Total";"1999";"110 years";-
"Total";"2000";"1 year";1
"Total";"2000";"2 years";10
"Total";"2000";"3 years";30
"Total";"2000";"4 years";31
"Total";"2000";"5 years";18
"Total";"2000";"6 years";20
"Total";"2000";"7 years";35
"Total";"2000";"8 years";19
"Total";"2000";"9 years";5
"Total";"2000";"10 years";24
"Total";"2000";"11 years";8
"Total";"2000";"12 years";22
"Total";"2000";"13 years";20
"Total";"2000";"14 years";27
"Total";"2000";"15 years";11
"Total";"2000";"16 years";9
"Total";"2000";"17 years";19
"Total";"2000";"18 years";59
"Total";"2000";"19 years";81
"Total";"2000";"20 years";27
"Total";"2000";"21 years";32
"Total";"2000";"22 years";53
"Total";"2000";"23 years";62
"Total";"2000";"24 years";40
"Total";"2000";"25 years";84
"Total";"2000";"26 years";5
"Total";"2000";"27 years";55
"Total";"2000";"28 years";36
"Total";"2000";"29 years";49
"Total";"2000";"30 years";45
"Total";"2000";"31 years";64
"Total";"2000";"32 years";67
"Total";"2000";"33 years";44
"Total";"2000";"34 years";38
"Total";"2000";"35 years";26
"Total";"2000";"36 years";45
"Total";"2000";"37 years";44
"Total";"2000";"38 years";37
"Total";"2000";"39 years";57
"Total";"2000";"40 years";29
"Total";"2000";"41 years";23
"Total";"2000";"42 years";32
"Total";"2000";"43 years";16
"Total";"2000";"44 years";19
"Total";"2000";"45 years";15
"Total";"2000";"46 years";14
"Total";"2000";"47 years";12
"Total";"2000";"48 years";14
"Total";"2000";"49 years";5
"Total";"2000";"50 years";6
"Total";"2000";"51 years";8
"Total";"2000";"52 years";8
"Total";"2000";"53 years";1
"Total";"2000";"54 years";4
"Total";"2000";"55 years";-1
"Total";"2000";"56 years";5
