"External migration by sex, age and citizenship 1986-2014"
"Total";"2007";"87 years";-
"Total";"2007";"88 years";2
"Total";"2007";"89 years";-
"Total";"2007";"90 years";-
"Total";"2007";"91 years";1
"Total";"2007";"92 years";-
"Total";"2007";"93 years";-
"Total";"2007";"94 years";-
"Total";"2007";"95 years";-
"Total";"2007";"96 years";-
"Total";"2007";"97 years";-
"Total";"2007";"98 years";-
"Total";"2007";"99 years";-
"Total";"2007";"100 years";-
"Total";"2007";"101 years";-
"Total";"2007";"102 years";-
"Total";"2007";"103 years";-
"Total";"2007";"104 years";-
"Total";"2007";"105 years";-
"Total";"2007";"106 years";-
"Total";"2007";"107 years";-
"Total";"2007";"108 years";-
"Total";"2007";"109 years";-
"Total";"2007";"110 years";-
"Total";"2008";"1 year";62
"Total";"2008";"2 years";29
"Total";"2008";"3 years";50
"Total";"2008";"4 years";20
"Total";"2008";"5 years";45
"Total";"2008";"6 years";23
"Total";"2008";"7 years";19
"Total";"2008";"8 years";42
"Total";"2008";"9 years";55
"Total";"2008";"10 years";19
"Total";"2008";"11 years";39
"Total";"2008";"12 years";38
"Total";"2008";"13 years";36
"Total";"2008";"14 years";37
"Total";"2008";"15 years";33
"Total";"2008";"16 years";55
"Total";"2008";"17 years";26
"Total";"2008";"18 years";82
"Total";"2008";"19 years";151
"Total";"2008";"20 years";87
"Total";"2008";"21 years";121
"Total";"2008";"22 years";173
"Total";"2008";"23 years";143
"Total";"2008";"24 years";169
"Total";"2008";"25 years";148
"Total";"2008";"26 years";55
"Total";"2008";"27 years";65
"Total";"2008";"28 years";47
"Total";"2008";"29 years";68
"Total";"2008";"30 years";-15
"Total";"2008";"31 years";20
"Total";"2008";"32 years";-27
"Total";"2008";"33 years";-22
"Total";"2008";"34 years";17
"Total";"2008";"35 years";-11
"Total";"2008";"36 years";20
"Total";"2008";"37 years";-44
"Total";"2008";"38 years";6
"Total";"2008";"39 years";-52
"Total";"2008";"40 years";-27
"Total";"2008";"41 years";-40
"Total";"2008";"42 years";-33
"Total";"2008";"43 years";-33
"Total";"2008";"44 years";-57
"Total";"2008";"45 years";-31
"Total";"2008";"46 years";-56
"Total";"2008";"47 years";-16
"Total";"2008";"48 years";-64
"Total";"2008";"49 years";-62
"Total";"2008";"50 years";-24
"Total";"2008";"51 years";-14
"Total";"2008";"52 years";-56
"Total";"2008";"53 years";-41
"Total";"2008";"54 years";-45
"Total";"2008";"55 years";-21
"Total";"2008";"56 years";-34
"Total";"2008";"57 years";-20
"Total";"2008";"58 years";-29
"Total";"2008";"59 years";-8
"Total";"2008";"60 years";-17
"Total";"2008";"61 years";6
"Total";"2008";"62 years";-1
"Total";"2008";"63 years";-2
"Total";"2008";"64 years";0
"Total";"2008";"65 years";-3
"Total";"2008";"66 years";-4
"Total";"2008";"67 years";-3
"Total";"2008";"68 years";-2
"Total";"2008";"69 years";0
"Total";"2008";"70 years";-3
"Total";"2008";"71 years";1
"Total";"2008";"72 years";-3
"Total";"2008";"73 years";-1
"Total";"2008";"74 years";2
"Total";"2008";"75 years";1
"Total";"2008";"76 years";-2
"Total";"2008";"77 years";1
"Total";"2008";"78 years";0
"Total";"2008";"79 years";2
"Total";"2008";"80 years";2
"Total";"2008";"81 years";2
"Total";"2008";"82 years";-2
"Total";"2008";"83 years";-
"Total";"2008";"84 years";-
"Total";"2008";"85 years";-
"Total";"2008";"86 years";-2
"Total";"2008";"87 years";-
"Total";"2008";"88 years";-1
"Total";"2008";"89 years";-
"Total";"2008";"90 years";-
"Total";"2008";"91 years";-
"Total";"2008";"92 years";-
"Total";"2008";"93 years";-
"Total";"2008";"94 years";-
"Total";"2008";"95 years";-
"Total";"2008";"96 years";-
"Total";"2008";"97 years";-
"Total";"2008";"98 years";-
"Total";"2008";"99 years";-
"Total";"2008";"100 years";-
"Total";"2008";"101 years";-
"Total";"2008";"102 years";-
"Total";"2008";"103 years";-
"Total";"2008";"104 years";-
"Total";"2008";"105 years";-
"Total";"2008";"106 years";-
"Total";"2008";"107 years";-
"Total";"2008";"108 years";-
"Total";"2008";"109 years";-
"Total";"2008";"110 years";-
"Total";"2009";"1 year";-68
"Total";"2009";"2 years";-64
"Total";"2009";"3 years";-53
"Total";"2009";"4 years";-40
"Total";"2009";"5 years";-41
"Total";"2009";"6 years";-17
"Total";"2009";"7 years";-30
"Total";"2009";"8 years";-31
"Total";"2009";"9 years";-12
"Total";"2009";"10 years";-34
"Total";"2009";"11 years";-13
"Total";"2009";"12 years";-18
"Total";"2009";"13 years";-11
"Total";"2009";"14 years";-24
"Total";"2009";"15 years";1
"Total";"2009";"16 years";18
"Total";"2009";"17 years";8
"Total";"2009";"18 years";-9
"Total";"2009";"19 years";3
"Total";"2009";"20 years";-39
"Total";"2009";"21 years";-83
"Total";"2009";"22 years";-71
"Total";"2009";"23 years";-112
"Total";"2009";"24 years";-106
"Total";"2009";"25 years";-187
"Total";"2009";"26 years";-200
"Total";"2009";"27 years";-179
"Total";"2009";"28 years";-231
"Total";"2009";"29 years";-198
"Total";"2009";"30 years";-155
"Total";"2009";"31 years";-205
"Total";"2009";"32 years";-191
"Total";"2009";"33 years";-156
"Total";"2009";"34 years";-135
"Total";"2009";"35 years";-143
"Total";"2009";"36 years";-149
"Total";"2009";"37 years";-134
"Total";"2009";"38 years";-117
"Total";"2009";"39 years";-121
"Total";"2009";"40 years";-139
"Total";"2009";"41 years";-81
"Total";"2009";"42 years";-89
"Total";"2009";"43 years";-87
"Total";"2009";"44 years";-115
"Total";"2009";"45 years";-73
"Total";"2009";"46 years";-57
"Total";"2009";"47 years";-94
"Total";"2009";"48 years";-68
"Total";"2009";"49 years";-86
"Total";"2009";"50 years";-63
"Total";"2009";"51 years";-83
"Total";"2009";"52 years";-65
"Total";"2009";"53 years";-68
"Total";"2009";"54 years";-47
"Total";"2009";"55 years";-39
"Total";"2009";"56 years";-36
"Total";"2009";"57 years";-30
"Total";"2009";"58 years";-19
"Total";"2009";"59 years";-16
"Total";"2009";"60 years";-42
"Total";"2009";"61 years";-11
"Total";"2009";"62 years";-14
"Total";"2009";"63 years";-1
"Total";"2009";"64 years";-1
"Total";"2009";"65 years";-5
"Total";"2009";"66 years";-8
"Total";"2009";"67 years";-3
"Total";"2009";"68 years";-1
"Total";"2009";"69 years";0
"Total";"2009";"70 years";2
"Total";"2009";"71 years";2
"Total";"2009";"72 years";-3
"Total";"2009";"73 years";1
"Total";"2009";"74 years";1
"Total";"2009";"75 years";-1
"Total";"2009";"76 years";-1
"Total";"2009";"77 years";0
"Total";"2009";"78 years";1
"Total";"2009";"79 years";-1
"Total";"2009";"80 years";2
"Total";"2009";"81 years";2
"Total";"2009";"82 years";2
"Total";"2009";"83 years";-
"Total";"2009";"84 years";0
"Total";"2009";"85 years";-
"Total";"2009";"86 years";-
"Total";"2009";"87 years";2
"Total";"2009";"88 years";1
"Total";"2009";"89 years";-
"Total";"2009";"90 years";-
"Total";"2009";"91 years";-
"Total";"2009";"92 years";1
"Total";"2009";"93 years";-
"Total";"2009";"94 years";-
"Total";"2009";"95 years";-
"Total";"2009";"96 years";-
"Total";"2009";"97 years";-
"Total";"2009";"98 years";-
"Total";"2009";"99 years";-
"Total";"2009";"100 years";-
"Total";"2009";"101 years";-
"Total";"2009";"102 years";-
"Total";"2009";"103 years";-
"Total";"2009";"104 years";-
"Total";"2009";"105 years";-
"Total";"2009";"106 years";-
"Total";"2009";"107 years";-
"Total";"2009";"108 years";-
"Total";"2009";"109 years";-
"Total";"2009";"110 years";-
"Total";"2010";"1 year";-59
"Total";"2010";"2 years";-41
"Total";"2010";"3 years";-25
"Total";"2010";"4 years";-52
"Total";"2010";"5 years";-40
"Total";"2010";"6 years";-34
"Total";"2010";"7 years";-34
"Total";"2010";"8 years";-32
"Total";"2010";"9 years";-3
"Total";"2010";"10 years";-18
"Total";"2010";"11 years";-7
"Total";"2010";"12 years";-19
"Total";"2010";"13 years";-7
"Total";"2010";"14 years";2
"Total";"2010";"15 years";-4
"Total";"2010";"16 years";9
"Total";"2010";"17 years";-21
"Total";"2010";"18 years";-4
"Total";"2010";"19 years";20
"Total";"2010";"20 years";-9
"Total";"2010";"21 years";25
"Total";"2010";"22 years";25
"Total";"2010";"23 years";-14
"Total";"2010";"24 years";-60
"Total";"2010";"25 years";-61
"Total";"2010";"26 years";-84
"Total";"2010";"27 years";-74
"Total";"2010";"28 years";-90
"Total";"2010";"29 years";-88
"Total";"2010";"30 years";-77
"Total";"2010";"31 years";-68
"Total";"2010";"32 years";-89
"Total";"2010";"33 years";-98
"Total";"2010";"34 years";-71
"Total";"2010";"35 years";-61
"Total";"2010";"36 years";-60
"Total";"2010";"37 years";-49
"Total";"2010";"38 years";-60
"Total";"2010";"39 years";-53
"Total";"2010";"40 years";-39
"Total";"2010";"41 years";-39
"Total";"2010";"42 years";-45
"Total";"2010";"43 years";-37
"Total";"2010";"44 years";-39
"Total";"2010";"45 years";-45
"Total";"2010";"46 years";-50
"Total";"2010";"47 years";-39
"Total";"2010";"48 years";-19
"Total";"2010";"49 years";-21
"Total";"2010";"50 years";-38
"Total";"2010";"51 years";-33
"Total";"2010";"52 years";-40
"Total";"2010";"53 years";-26
"Total";"2010";"54 years";-12
"Total";"2010";"55 years";-22
"Total";"2010";"56 years";-17
"Total";"2010";"57 years";-14
"Total";"2010";"58 years";-11
"Total";"2010";"59 years";-24
"Total";"2010";"60 years";-8
"Total";"2010";"61 years";-4
"Total";"2010";"62 years";-1
"Total";"2010";"63 years";-7
"Total";"2010";"64 years";-1
"Total";"2010";"65 years";-9
"Total";"2010";"66 years";5
"Total";"2010";"67 years";5
"Total";"2010";"68 years";0
"Total";"2010";"69 years";-2
"Total";"2010";"70 years";2
"Total";"2010";"71 years";4
"Total";"2010";"72 years";0
"Total";"2010";"73 years";2
"Total";"2010";"74 years";0
"Total";"2010";"75 years";-1
"Total";"2010";"76 years";1
"Total";"2010";"77 years";-3
"Total";"2010";"78 years";1
"Total";"2010";"79 years";-1
"Total";"2010";"80 years";-
"Total";"2010";"81 years";-1
"Total";"2010";"82 years";-
"Total";"2010";"83 years";-1
"Total";"2010";"84 years";-
"Total";"2010";"85 years";0
"Total";"2010";"86 years";-
"Total";"2010";"87 years";-
"Total";"2010";"88 years";-
"Total";"2010";"89 years";1
"Total";"2010";"90 years";-
"Total";"2010";"91 years";1
"Total";"2010";"92 years";-
"Total";"2010";"93 years";-
"Total";"2010";"94 years";-
"Total";"2010";"95 years";-
"Total";"2010";"96 years";-
"Total";"2010";"97 years";-
"Total";"2010";"98 years";-
"Total";"2010";"99 years";-
"Total";"2010";"100 years";-
"Total";"2010";"101 years";-
"Total";"2010";"102 years";-
"Total";"2010";"103 years";-
"Total";"2010";"104 years";-
"Total";"2010";"105 years";-
"Total";"2010";"106 years";-
"Total";"2010";"107 years";-
"Total";"2010";"108 years";-
"Total";"2010";"109 years";-
"Total";"2010";"110 years";-
"Total";"2011";"1 year";-77
"Total";"2011";"2 years";-48
"Total";"2011";"3 years";-25
"Total";"2011";"4 years";-25
"Total";"2011";"5 years";-11
"Total";"2011";"6 years";-7
"Total";"2011";"7 years";-11
"Total";"2011";"8 years";-22
"Total";"2011";"9 years";-21
"Total";"2011";"10 years";-11
"Total";"2011";"11 years";-12
"Total";"2011";"12 years";2
"Total";"2011";"13 years";-2
"Total";"2011";"14 years";-12
"Total";"2011";"15 years";-3
"Total";"2011";"16 years";7
"Total";"2011";"17 years";15
"Total";"2011";"18 years";22
"Total";"2011";"19 years";49
"Total";"2011";"20 years";28
"Total";"2011";"21 years";-11
"Total";"2011";"22 years";12
"Total";"2011";"23 years";-10
"Total";"2011";"24 years";-102
"Total";"2011";"25 years";-29
"Total";"2011";"26 years";-74
"Total";"2011";"27 years";-49
"Total";"2011";"28 years";-87
"Total";"2011";"29 years";-12
"Total";"2011";"30 years";-75
"Total";"2011";"31 years";-25
"Total";"2011";"32 years";-45
"Total";"2011";"33 years";-81
"Total";"2011";"34 years";-58
"Total";"2011";"35 years";-57
"Total";"2011";"36 years";-62
"Total";"2011";"37 years";-39
"Total";"2011";"38 years";-50
"Total";"2011";"39 years";-17
"Total";"2011";"40 years";-33
"Total";"2011";"41 years";-30
"Total";"2011";"42 years";-14
"Total";"2011";"43 years";-30
"Total";"2011";"44 years";-35
"Total";"2011";"45 years";-35
"Total";"2011";"46 years";-21
"Total";"2011";"47 years";-24
"Total";"2011";"48 years";-36
"Total";"2011";"49 years";-20
"Total";"2011";"50 years";-16
"Total";"2011";"51 years";-13
"Total";"2011";"52 years";2
"Total";"2011";"53 years";-19
"Total";"2011";"54 years";-3
"Total";"2011";"55 years";-16
"Total";"2011";"56 years";-6
"Total";"2011";"57 years";-9
"Total";"2011";"58 years";-13
"Total";"2011";"59 years";7
"Total";"2011";"60 years";-5
"Total";"2011";"61 years";-3
"Total";"2011";"62 years";-2
"Total";"2011";"63 years";-2
"Total";"2011";"64 years";-1
"Total";"2011";"65 years";0
"Total";"2011";"66 years";0
"Total";"2011";"67 years";1
"Total";"2011";"68 years";1
"Total";"2011";"69 years";0
"Total";"2011";"70 years";4
"Total";"2011";"71 years";3
"Total";"2011";"72 years";2
"Total";"2011";"73 years";-1
"Total";"2011";"74 years";3
"Total";"2011";"75 years";0
"Total";"2011";"76 years";4
"Total";"2011";"77 years";-1
"Total";"2011";"78 years";1
"Total";"2011";"79 years";1
"Total";"2011";"80 years";-
"Total";"2011";"81 years";-
"Total";"2011";"82 years";-1
"Total";"2011";"83 years";1
"Total";"2011";"84 years";-
"Total";"2011";"85 years";-
"Total";"2011";"86 years";1
"Total";"2011";"87 years";1
"Total";"2011";"88 years";-
"Total";"2011";"89 years";-
"Total";"2011";"90 years";-
"Total";"2011";"91 years";1
"Total";"2011";"92 years";-
"Total";"2011";"93 years";-
"Total";"2011";"94 years";-
"Total";"2011";"95 years";-
"Total";"2011";"96 years";-
"Total";"2011";"97 years";-
"Total";"2011";"98 years";-
"Total";"2011";"99 years";-
"Total";"2011";"100 years";-
"Total";"2011";"101 years";-
"Total";"2011";"102 years";-
"Total";"2011";"103 years";-
"Total";"2011";"104 years";-
"Total";"2011";"105 years";-
"Total";"2011";"106 years";-
"Total";"2011";"107 years";-
"Total";"2011";"108 years";-
"Total";"2011";"109 years";-
"Total";"2011";"110 years";-
"Total";"2012";"1 year";-19
"Total";"2012";"2 years";-2
"Total";"2012";"3 years";-3
"Total";"2012";"4 years";-9
"Total";"2012";"5 years";-29
"Total";"2012";"6 years";11
"Total";"2012";"7 years";9
"Total";"2012";"8 years";0
"Total";"2012";"9 years";15
"Total";"2012";"10 years";-8
"Total";"2012";"11 years";5
"Total";"2012";"12 years";-11
"Total";"2012";"13 years";14
"Total";"2012";"14 years";6
"Total";"2012";"15 years";13
"Total";"2012";"16 years";10
"Total";"2012";"17 years";6
"Total";"2012";"18 years";-4
"Total";"2012";"19 years";49
"Total";"2012";"20 years";1
"Total";"2012";"21 years";3
"Total";"2012";"22 years";-10
"Total";"2012";"23 years";-30
"Total";"2012";"24 years";-61
"Total";"2012";"25 years";-25
"Total";"2012";"26 years";39
"Total";"2012";"27 years";7
"Total";"2012";"28 years";-8
"Total";"2012";"29 years";14
"Total";"2012";"30 years";-19
"Total";"2012";"31 years";-31
"Total";"2012";"32 years";-32
"Total";"2012";"33 years";-47
"Total";"2012";"34 years";-18
"Total";"2012";"35 years";7
"Total";"2012";"36 years";-18
"Total";"2012";"37 years";-21
"Total";"2012";"38 years";-10
"Total";"2012";"39 years";-5
"Total";"2012";"40 years";1
"Total";"2012";"41 years";-10
"Total";"2012";"42 years";-13
"Total";"2012";"43 years";12
"Total";"2012";"44 years";7
"Total";"2012";"45 years";-13
"Total";"2012";"46 years";-6
"Total";"2012";"47 years";-20
"Total";"2012";"48 years";3
"Total";"2012";"49 years";-15
"Total";"2012";"50 years";-19
"Total";"2012";"51 years";-13
"Total";"2012";"52 years";-6
"Total";"2012";"53 years";5
"Total";"2012";"54 years";-11
"Total";"2012";"55 years";4
"Total";"2012";"56 years";-18
"Total";"2012";"57 years";2
"Total";"2012";"58 years";-6
"Total";"2012";"59 years";-12
"Total";"2012";"60 years";6
"Total";"2012";"61 years";-7
"Total";"2012";"62 years";0
"Total";"2012";"63 years";1
"Total";"2012";"64 years";3
"Total";"2012";"65 years";-3
"Total";"2012";"66 years";-2
"Total";"2012";"67 years";1
"Total";"2012";"68 years";1
"Total";"2012";"69 years";0
"Total";"2012";"70 years";-1
"Total";"2012";"71 years";2
"Total";"2012";"72 years";-2
"Total";"2012";"73 years";2
"Total";"2012";"74 years";5
"Total";"2012";"75 years";1
"Total";"2012";"76 years";2
"Total";"2012";"77 years";1
"Total";"2012";"78 years";1
"Total";"2012";"79 years";0
"Total";"2012";"80 years";1
"Total";"2012";"81 years";2
"Total";"2012";"82 years";-
"Total";"2012";"83 years";1
"Total";"2012";"84 years";-
"Total";"2012";"85 years";-
"Total";"2012";"86 years";2
"Total";"2012";"87 years";1
"Total";"2012";"88 years";-
"Total";"2012";"89 years";-
"Total";"2012";"90 years";-1
"Total";"2012";"91 years";-
"Total";"2012";"92 years";-
"Total";"2012";"93 years";-
"Total";"2012";"94 years";-
"Total";"2012";"95 years";-
"Total";"2012";"96 years";-
"Total";"2012";"97 years";-
"Total";"2012";"98 years";-
"Total";"2012";"99 years";-
"Total";"2012";"100 years";-
"Total";"2012";"101 years";-
"Total";"2012";"102 years";-
"Total";"2012";"103 years";-
"Total";"2012";"104 years";-
"Total";"2012";"105 years";-
"Total";"2012";"106 years";-
"Total";"2012";"107 years";-
"Total";"2012";"108 years";-
"Total";"2012";"109 years";-
"Total";"2012";"110 years";-
"Total";"2013";"1 year";-3
"Total";"2013";"2 years";22
"Total";"2013";"3 years";9
"Total";"2013";"4 years";17
"Total";"2013";"5 years";28
"Total";"2013";"6 years";28
"Total";"2013";"7 years";34
"Total";"2013";"8 years";37
"Total";"2013";"9 years";37
"Total";"2013";"10 years";16
"Total";"2013";"11 years";21
"Total";"2013";"12 years";16
"Total";"2013";"13 years";34
"Total";"2013";"14 years";30
"Total";"2013";"15 years";22
"Total";"2013";"16 years";51
"Total";"2013";"17 years";1
"Total";"2013";"18 years";42
"Total";"2013";"19 years";77
"Total";"2013";"20 years";98
"Total";"2013";"21 years";30
"Total";"2013";"22 years";97
"Total";"2013";"23 years";35
"Total";"2013";"24 years";34
"Total";"2013";"25 years";64
"Total";"2013";"26 years";41
"Total";"2013";"27 years";40
"Total";"2013";"28 years";53
"Total";"2013";"29 years";55
"Total";"2013";"30 years";57
"Total";"2013";"31 years";28
"Total";"2013";"32 years";26
"Total";"2013";"33 years";13
"Total";"2013";"34 years";41
"Total";"2013";"35 years";51
"Total";"2013";"36 years";38
"Total";"2013";"37 years";20
"Total";"2013";"38 years";40
"Total";"2013";"39 years";43
"Total";"2013";"40 years";22
"Total";"2013";"41 years";26
"Total";"2013";"42 years";13
"Total";"2013";"43 years";13
"Total";"2013";"44 years";15
"Total";"2013";"45 years";21
"Total";"2013";"46 years";-2
"Total";"2013";"47 years";-13
"Total";"2013";"48 years";10
"Total";"2013";"49 years";3
"Total";"2013";"50 years";5
"Total";"2013";"51 years";-4
"Total";"2013";"52 years";2
"Total";"2013";"53 years";2
"Total";"2013";"54 years";-2
"Total";"2013";"55 years";7
"Total";"2013";"56 years";6
"Total";"2013";"57 years";6
"Total";"2013";"58 years";2
"Total";"2013";"59 years";19
"Total";"2013";"60 years";-3
"Total";"2013";"61 years";-4
"Total";"2013";"62 years";-5
"Total";"2013";"63 years";3
"Total";"2013";"64 years";-3
"Total";"2013";"65 years";3
"Total";"2013";"66 years";8
"Total";"2013";"67 years";9
"Total";"2013";"68 years";5
"Total";"2013";"69 years";4
"Total";"2013";"70 years";6
"Total";"2013";"71 years";0
"Total";"2013";"72 years";-1
"Total";"2013";"73 years";1
"Total";"2013";"74 years";4
"Total";"2013";"75 years";3
"Total";"2013";"76 years";0
"Total";"2013";"77 years";0
"Total";"2013";"78 years";1
"Total";"2013";"79 years";-
"Total";"2013";"80 years";1
"Total";"2013";"81 years";-1
"Total";"2013";"82 years";1
"Total";"2013";"83 years";-
"Total";"2013";"84 years";-
"Total";"2013";"85 years";-
"Total";"2013";"86 years";-
"Total";"2013";"87 years";1
"Total";"2013";"88 years";-
"Total";"2013";"89 years";-
"Total";"2013";"90 years";-
"Total";"2013";"91 years";-
"Total";"2013";"92 years";-
"Total";"2013";"93 years";-
"Total";"2013";"94 years";-1
"Total";"2013";"95 years";-
"Total";"2013";"96 years";-
"Total";"2013";"97 years";-
"Total";"2013";"98 years";-
"Total";"2013";"99 years";-
"Total";"2013";"100 years";-
"Total";"2013";"101 years";-
"Total";"2013";"102 years";-
"Total";"2013";"103 years";-
"Total";"2013";"104 years";-
"Total";"2013";"105 years";-
"Total";"2013";"106 years";-
"Total";"2013";"107 years";-
"Total";"2013";"108 years";-
"Total";"2013";"109 years";-
"Total";"2013";"110 years";-
"Total";"2014";"1 year";14
"Total";"2014";"2 years";7
"Total";"2014";"3 years";9
"Total";"2014";"4 years";3
"Total";"2014";"5 years";-11
"Total";"2014";"6 years";-3
"Total";"2014";"7 years";-7
"Total";"2014";"8 years";15
"Total";"2014";"9 years";15
"Total";"2014";"10 years";20
"Total";"2014";"11 years";10
"Total";"2014";"12 years";6
"Total";"2014";"13 years";8
"Total";"2014";"14 years";-12
"Total";"2014";"15 years";14
"Total";"2014";"16 years";25
"Total";"2014";"17 years";5
"Total";"2014";"18 years";60
"Total";"2014";"19 years";50
"Total";"2014";"20 years";95
"Total";"2014";"21 years";33
"Total";"2014";"22 years";105
"Total";"2014";"23 years";23
"Total";"2014";"24 years";60
"Total";"2014";"25 years";50
"Total";"2014";"26 years";67
"Total";"2014";"27 years";52
"Total";"2014";"28 years";36
"Total";"2014";"29 years";0
"Total";"2014";"30 years";5
"Total";"2014";"31 years";13
"Total";"2014";"32 years";-4
"Total";"2014";"33 years";25
"Total";"2014";"34 years";-12
"Total";"2014";"35 years";37
"Total";"2014";"36 years";16
"Total";"2014";"37 years";16
"Total";"2014";"38 years";43
"Total";"2014";"39 years";9
"Total";"2014";"40 years";12
"Total";"2014";"41 years";4
"Total";"2014";"42 years";20
"Total";"2014";"43 years";35
"Total";"2014";"44 years";19
"Total";"2014";"45 years";10
"Total";"2014";"46 years";-3
"Total";"2014";"47 years";15
"Total";"2014";"48 years";22
"Total";"2014";"49 years";3
"Total";"2014";"50 years";0
"Total";"2014";"51 years";7
"Total";"2014";"52 years";17
"Total";"2014";"53 years";7
"Total";"2014";"54 years";3
"Total";"2014";"55 years";1
"Total";"2014";"56 years";22
"Total";"2014";"57 years";1
"Total";"2014";"58 years";3
"Total";"2014";"59 years";-4
"Total";"2014";"60 years";3
"Total";"2014";"61 years";4
"Total";"2014";"62 years";-2
"Total";"2014";"63 years";-1
"Total";"2014";"64 years";1
"Total";"2014";"65 years";-7
"Total";"2014";"66 years";-3
"Total";"2014";"67 years";3
"Total";"2014";"68 years";5
"Total";"2014";"69 years";-1
"Total";"2014";"70 years";4
"Total";"2014";"71 years";-2
"Total";"2014";"72 years";2
"Total";"2014";"73 years";2
"Total";"2014";"74 years";-3
"Total";"2014";"75 years";0
"Total";"2014";"76 years";-
"Total";"2014";"77 years";0
"Total";"2014";"78 years";4
"Total";"2014";"79 years";0
"Total";"2014";"80 years";-1
"Total";"2014";"81 years";1
"Total";"2014";"82 years";1
"Total";"2014";"83 years";0
"Total";"2014";"84 years";-
"Total";"2014";"85 years";-
"Total";"2014";"86 years";1
"Total";"2014";"87 years";-
"Total";"2014";"88 years";1
"Total";"2014";"89 years";2
"Total";"2014";"90 years";-
"Total";"2014";"91 years";-
"Total";"2014";"92 years";-
"Total";"2014";"93 years";-
"Total";"2014";"94 years";-
"Total";"2014";"95 years";-
"Total";"2014";"96 years";-
"Total";"2014";"97 years";-
"Total";"2014";"98 years";-
"Total";"2014";"99 years";-
"Total";"2014";"100 years";-
"Total";"2014";"101 years";-
"Total";"2014";"102 years";-
"Total";"2014";"103 years";-
"Total";"2014";"104 years";-
"Total";"2014";"105 years";-
"Total";"2014";"106 years";-
"Total";"2014";"107 years";-
"Total";"2014";"108 years";-
"Total";"2014";"109 years";-
"Total";"2014";"110 years";-
